"number","title","pageid","namespace","length","touched"
"513","Majoritarian_democracy","3084768","","4082","20211225223618"
"514","Jewish_question","3096764","","21953","20220123101637"
"515","Unitary_executive_theory","3103340","","30668","20220109214716"
"516","Non-interventionism","3107223","","9195","20211128175039"
"517","Whitaker_and_Baxter","3118828","","29579","20220103065114"
"518","Politics_of_Artsakh","3178710","","6008","20211022085644"
"519","Kadima","3209047","","31157","20211211194117"
"520","Optional_preferential_voting","3225009","","5858","20210207053112"
"521","Social_exclusion","3229028","","43130","20211127202020"
"522","Prohibitionism","3248459","","7462","20211017164542"
"523","Coffin_Handbills","3249585","","8382","20210214051705"
"524","List_of_coups_and_coup_attempts_by_country","3258142","","155273","20220117185751"
"525","Prime_Minister_of_Kenya","3267168","","3902","20220120024417"
"526","Christmas_controversies","3277499","","93682","20220115075913"
"527","S-Alternative","3291371","","637","20210302170927"
"528","Marrakech_Accords","3310645","","1312","20201116121313"
"529","Offshore_balancing","3312148","","8347","20211210045403"
"530","Tito–Stalin_split","3357206","","51470","20220103024949"
"531","Transnational_progressivism","3397133","","42353","20220117221707"
"532","Nonsectarian","3425900","","7605","20220107173408"
"533","Social_innovation","3425953","","36969","20211128185303"
"534","Security_sector_governance_and_reform","3469313","","23960","20211204103822"
"535","Equality_before_the_law","3492548","","12646","20211212211447"
"536","Blackshirts_(India)","3497908","","2134","20210421194832"
"537","Tribal_chief","3512364","","18352","20220112164514"
"538","Inclusive_Democracy","3539395","","52297","20211204161421"
"539","Mobutism","3609484","","5743","20220116050855"
"540","Pacificism","3674558","","5956","20211212231425"
"541","Justitium","3687637","","3234","20210817153528"
"542","Historical_subject","3701198","","1276","20210525160851"
"543","Baby_kissing","3741665","","3149","20200928224618"
"544","Common_Peace","3742318","","43186","20210707094803"
"545","Ethnopluralism","3808132","","14365","20211121163953"
"546","Authenticité_(Chad)","3825548","","717","20210730164525"
"547","Union_Council_(students'_union)","3832532","","721","20211103191308"
"548","Localism_(politics)","3832640","","24544","20211106025815"
"549","Disciplinary_institution","3868154","","1544","20210525161238"
"550","Upayas_(diplomacy)","3871585","","2821","20220103100513"
"551","Parliamentary_leader","3923539","","8916","20211227101832"
"552","Consent_theory","3962924","","1804","20210817145324"
"553","Progressive_Party_(United_States,_1924–34)","3976341","","11530","20211229213037"
"554","Progressive_Party_(United_States,_1948)","3976426","","36353","20220120232832"
"555","Neopatrimonialism","3981741","","11585","20220102203558"
"556","Fiscal_conservatism","4032505","","38946","20220119221956"
"557","Developmental_state","4043648","","30659","20210912080855"
"558","Disarm_Bush_T-Shirts","4090507","","2215","20220101195408"
"559","Extra-parliamentary_opposition","4090674","","1426","20201104082246"
"560","Imperial_commissioner","4139859","","1845","20211012152923"
"561","Greater_Middle_East","4144983","","11003","20211227163528"
"562","We_Have_a_Right","4150439","","2602","20200717205237"
"563","Arusha_Agreement","4150569","","2901","20211129161453"
"564","Name_recognition","4177369","","4827","20210920054757"
"565","Multi-level_governance","4209781","","52905","20211227091008"
"566","Systems_theory_in_political_science","4229742","","4073","20210717185402"
"567","11th_Panchen_Lama_controversy","4245206","","11502","20211205171705"
"568","Communization","4283625","","14817","20220113072438"
"569","Mouvement_Franciste","4289700","","8695","20211226202837"
"570","Campaign_button","4340832","","6318","20211115003051"
"571","Ribbon_of_Saint_George","4357197","","31422","20211220191415"
"572","Irenicism","4395648","","12055","20210923164556"
"573","Anarchism_and_animal_rights","4398733","","19629","20211011175340"
"574","Flamingant","4476459","","3052","20210127185816"
"575","Security_culture","4477281","","6935","20210402170611"
"576","Comandos_Autónomos_Anticapitalistas","4490962","","2863","20200406103849"
"577","List_of_political_conspiracies","4563279","","21291","20220101211434"
"578","Tu'i","4564793","","1484","20210306235026"
"579","Human_overpopulation","4599275","","98881","20220116001628"
"580","National_Schism","4604305","","64646","20220122172526"
"581","Integral_nationalism","4627713","","16056","20211119190140"
"582","Dual_federalism","4627888","","36661","20210507184048"
"583","Libertarian_paternalism","4652008","","9044","20210905033436"
"584","Cultural_competence","4665199","","35081","20211030041335"
"585","New_Democracy","4688353","","14646","20210828031843"
"586","Éire_Nua","4734157","","6270","20210926130522"
"587","Hindi–Urdu_controversy","4746063","","25559","20220104152702"
"588","Progressive_Conservative_Party_of_Manitoba_candidates_in_the_1977_Manitoba_provincial_election","4753303","","870","20210817150129"
"589","Issues_in_social_nudity","4753845","","15989","20211231232158"
"590","Sandinista_ideology","4753946","","22557","20220115132834"
"591","Walk-in_agent","4754171","","659","20190907112130"
"592","List_of_fascist_movements","4843627","","51060","20220110233427"
"593","League_of_Communists_(Finland)","4865559","","3526","20211024082517"
"594","Songun","4897163","","23638","20220119134622"
"595","Cooperative_federalism","4911701","","7279","20210817153525"
"596","System_justification","4933873","","38117","20220107095633"
"597","Campaign_song","4935633","","23388","20211111012351"
"598","Countervailing_power","4998470","","5648","20201016203807"
"599","Eight_Magic_Words","5058956","","4208","20200612111827"
"600","Puppetista","5064328","","973","20211012181019"
"601","Local_people's_court","5104622","","1038","20210723162326"
"602","Agonism","5106007","","20280","20211025220252"
"603","Pensée_unique","5180384","","2135","20210921120853"
"604","Constitutional_Coup","5213868","","9501","20211020132245"
"605","Avodah","5272112","","2444","20220120071039"
"606","Pochvennichestvo","5280923","","3400","20220108135835"
"607","Get_Up,_Stand_Up:_The_Story_of_Pop_and_Politics","5293582","","2866","20200409172147"
"608","Transatlantic_Intelligencer","5302444","","2322","20220113023306"
"609","Safety_valve_theory","5336467","","2263","20201227162432"
"610","Melayu_Islam_Beraja","5338355","","1432","20220105162323"
"611","Tax_policy","5341987","","21693","20220115223731"
"612","Political_criticism","5386990","","519","20210412015219"
"613","Centre_for_Social_Justice_Awards","5436334","","2235","20210728221757"
"614","Land_and_liberty_(slogan)","5467265","","5813","20211211150719"
"615","Political_structure","5492996","","1802","20210926175042"
"616","Overton_window","5509535","","8419","20220108172449"
"617","Five-point_electoral_law","5601944","","701","20220118201152"
"618","List_of_coups_and_coup_attempts","5612659","","153555","20220120204943"
"619","List_of_revolutions_and_rebellions","5612881","","213353","20220122072407"
"620","Christian_Liberation_Movement","5702980","","3158","20210804155511"
"621","Hardline","5713662","","9137","20211029093153"
"622","Political_symbolism","5724491","","2653","20210209045510"
"623","Subject_matter_in_South_Park","5755366","","44867","20220101005014"
"624","Celine's_laws","5836048","","8484","20210726174800"
"625","Legislative_violence","5879951","","102448","20220115163400"
"626","Political_history_of_East_Africa","5883157","","39526","20210902121957"
"627","Jamal_Khashoggi","5894884","","113624","20220120143602"
"628","List_of_mayors_of_Soltvadkert","5895858","","798","20200303123150"
"629","Order_of_La_Pléiade","5946880","","3223","20191230072703"
"630","Age_of_consent_reform","5962470","","34129","20220111125016"
"631","Ranan_Lurie_Political_Cartoon_Awards","5980367","","185","20200215070308"
"632","List_of_political_movements_named_after_dates","5998395","","1087","20201004070555"
"633","Abacost","6011479","","2494","20210922211101"
"634","Jus_exclusivae","6016271","","13075","20220118203839"
"635","Hammer_and_pick","6027935","","2743","20211111190935"
"636","Radical_chic","6070611","","16185","20211017215024"
"637","Political_T-shirt","6098966","","1258","20201125100454"
"638","Campaign_bus","6111759","","5806","20211003094438"
"639","Civic_nationalism","6131049","","10612","20220107031948"
"640","Racial_nationalism","6145996","","1671","20210331180252"
"641","List_of_wars_between_democracies","6152771","","20282","20220123031626"
"642","Res_publica_Christiana","6171137","","14214","20210326020722"
"643","Neo-Trotskyism","6266859","","610","20210816192458"
"644","Bombard_the_Headquarters","6274091","","3720","20210701221640"
"645","Treaty_of_Paris_(1323)","6351471","","1712","20210919193806"
"646","Circumscription_theory","6353282","","6200","20210502150921"
"647","Anti-patriotism","6422392","","9501","20220102055744"
"648","Red_Shirts_(United_States)","6544610","","30844","20211231144921"
"649","International_Code_of_Conduct_against_Ballistic_Missile_Proliferation","6689235","","4085","20211010123523"
"650","Small_government","6762680","","16652","20211226084343"
"651","Solidarity_(Scotland)","6823725","","18672","20220108232324"
"652","National_Peace_Keeping_Council","6860295","","2604","20220121075929"
"653","Schism_of_Louis_of_Bavaria","6880194","","73","20070115192020"
"654","Dunst_(performance_group)","6894420","","3891","20210315182649"
"655","History_of_terrorism","6999780","","160904","20220123073826"
"656","Emperor_Norton_in_popular_culture","7034369","","27630","20211103042413"
"657","Command_and_control_(management)","7092320","","3036","20210820053514"
"658","Managerialism","7128959","","30196","20211107121539"
"659","The_Engineering_of_Consent","7193665","","11986","20211229133414"
"660","Liberation_movement","7216339","","2259","20210808184324"
"661","Roemer_model_of_political_competition","7249317","","2405","20190701143858"
"662","Slovak_National_Council's_Declaration_of_Independence_of_the_Slovak_Nation","7289531","","3439","20210325013229"
"663","Neo-medievalism","7492018","","14596","20211225171315"
"664","Peace_conference","7492160","","704","20210606011542"
"665","Politico-media_complex","7580342","","68884","20211111013049"
"666","Nickel_Project","7611583","","745","20200630061755"
"667","Associationalism","7718117","","11592","20220108232139"
"668","2006_Colorado_Amendment_42","7732386","","1163","20210503184726"
"669","Denialism","7746391","","60851","20220108221305"
"670","Four_Minute_Men","7829135","","10880","20211209185248"
"671","Scottish_Politician_of_the_Year","7982641","","15871","20211217211033"
"672","Jabotinsky_Medal","8017455","","5506","20220119143256"
"673","Organic_work","8068558","","4880","20210311090410"
"674","Participation_inequality","8078743","","9477","20210923030326"
"675","Modified_Scheme_of_Elementary_education_1953","8117090","","36509","20211201161422"
"676","Elite_theory","8130927","","22182","20211003115639"
"677","Diaspora_politics","8174254","","3699","20211126101241"
"678","Homestead_Act_of_1860","8249764","","1927","20210925151353"
"679","Industrial_Groups","8263513","","4028","20211212235220"
"680","Fusionism","8348744","","15104","20220108130203"
"681","Social_dominance_theory","8377605","","28975","20211212135833"
"682","Negative_selection_(politics)","8394379","","2966","20210508141756"
"683","Herzl_Award","8406789","","5582","20210419182445"
"684","1980_International_Conference_of_Marxist–Leninist_Parties_and_Organisations","8454198","","1405","20211115201422"
"685","Institute_of_Peace_and_Conflict_Studies","8455551","","4079","20210325150053"
"686","History_of_assassination","8455760","","33856","20210914100051"
"687","Democracy_in_Marxism","8467077","","11068","20211229214457"
"688","Middle_East_Review_of_International_Affairs","8639278","","3363","20220121062604"
"689","Health_policy","8695082","","24480","20211213022844"
"690","Addis_Ababa_Agreement_(1993)","8753074","","378","20210413211641"
"691","Obstructionism","8768899","","7684","20220115173630"
"692","Administration_(government)","8824343","","3542","20220114152813"
"693","Palingenetic_ultranationalism","8907680","","5596","20211029013126"
"694","Policy_by_press_release","8937262","","7022","20210805085219"
"695","Means_of_labor","9019907","","1989","20211202154512"
"696","Subject_of_labor","9020117","","1848","20211202155139"
"697","Philosophy_as_Cultural_Politics","9083787","","1750","20190410024706"
"698","Communism","9209651","","222934","20220118095101"
"699","Factions_of_the_Russian_Social_Democratic_Labour_Party","9260500","","5096","20210922185911"
"700","Stevens_Reed_Curcio_&_Potholm","9312419","","1109","20211014165133"
"701","Platform_(European_politics)","9395656","","1080","20200218210716"
"702","Soft_tyranny","9456489","","6041","20210817144326"
"703","President_of_the_United_Arab_Emirates","9480572","","4647","20211220203107"
"704","Pluralism_(political_theory)","9484485","","15176","20211216151712"
"705","Coalition_agreement","9503422","","1097","20211210233158"
"706","Grapus","9506973","","13909","20210604010719"
"707","Parity_of_esteem","9579546","","5841","20210906123624"
"708","Position_paper","9634535","","6469","20211110200239"
"709","Catonism","9706226","","4844","20210817152453"
"710","Post-behavioralism","9781365","","2473","20210613130546"
"711","Langtang_Mafia","9798707","","2134","20211205035742"
"712","Necessary_International_Initiative","9816716","","1584","20200614041550"
"713","2007_Somali_National_Reconciliation_Conference","9833057","","4961","20220113205508"
"714","Liberal_Democrat_Federal_Conference","9846388","","42013","20220121133028"
"715","1977_Philippine_presidential_referendum","9855893","","1770","20210209170815"
"716","Veto_Players","9982775","","3991","20211126110051"
"717","Political_positivism","9992939","","5960","20200601145746"
"718","Nothing_About_Us_Without_Us","10051102","","5979","20220114221933"
"719","Treaty_of_Prague_(1973)","10059808","","1615","20210210210339"
"720","Neo-Sovietism","10304397","","4936","20210902163758"
"721","Policy_studies","10412265","","5473","20211208151241"
"722","Pluralist_democracy","10520084","","2617","20211022132336"
"723","Wildness","10623474","","15126","20210926025324"
"724","Global_feminism","10809813","","7894","20210217152002"
"725","Term_of_office","10826158","","35514","20211208135931"
"726","Timeline_of_the_2007_Labour_Party_leadership_election_(UK)","10887872","","32311","20220110232949"
"727","Interest_aggregation","10894666","","739","20180330192310"
"728","Cultural_dissonance","10975258","","10691","20210810062223"
"729","Pocket_Veto_Case","10989385","","4573","20210717081240"
"730","Health_administration","11038718","","18322","20211213035806"
"731","Rise_of_nationalism_in_Europe","11054436","","12215","20220117091144"
"732","2005_NATO_Headquarters_summit","11059728","","1099","20191210020448"
"733","1999_Istanbul_summit","11100552","","1840","20210813083045"
"734","Yugoslav_Radical_Union","11140602","","3967","20211013232017"
"735","Apoliticism","11144531","","4615","20220116044229"
"736","Adlecti","11160073","","2345","20200210202705"
"737","Political_theology","11328678","","24812","20211002052221"
"738","Radical_democracy","11346314","","22054","20211102201907"
"739","Vanishing_mediator","11401784","","3020","20220115100437"
"740","Power_sharing","11451900","","8990","20211106195641"
"741","Padayatra","11486936","","12489","20210827223145"
"742","Regidor","11504981","","2901","20210304080336"
"743","Demokratia","11509426","","3602","20220120025348"
"744","Negarchy","11537666","","1934","20210721200202"
"745","Legislatures_in_communist_states","11730995","","3829","20210825090641"
"746","United_States_of_the_West","11758150","","10631","20220114170534"
"747","Taistoism","11850988","","3473","20211109003540"
"748","Goodwill_tour","11874765","","1938","20190219145900"
"749","Red_Shirts_(Mexico)","11887871","","9530","20210906015107"
"750","President-in-office","11951159","","1333","20220103144920"
"751","Expansionist_nationalism","12189319","","4398","20211006065948"
"752","Revolutionary_Mexicanist_Action","12207550","","10145","20211126104120"
"753","Committees_on_Arms_Export_Controls","12252268","","6758","20211207145753"
"754","Grassroots_Campaigns,_Inc.","12436934","","13984","20211018073700"
"755","Greening","12446018","","11418","20220107112054"
"756","Edinburgh_Declaration","12449570","","6323","20211117040911"
"757","2007_Swazi_general_strike","12477994","","4080","20220116162200"
"758","Culture_change","12593785","","14824","20211228144739"
"759","Politics_of_Harry_Potter","12804607","","70357","20220114173106"
"760","Socialist_Register","12809066","","2619","20210128070323"
"761","Socialist_democracy","12833512","","4488","20220113173920"
"762","Trade,_Development_and_Cooperation_Agreement","12838955","","951","20201227230453"
"763","Chaillot_Papers","12898725","","1095","20151029022712"
"764","Adelphi_Papers","12905760","","865","20180512143034"
"765","Politically_exposed_person","12957185","","22598","20220112233838"
"766","Blanket_policy","12973014","","460","20191018013354"
"767","Roman/Red","13033868","","1598","20210621223118"
"768","Sign_war","13242687","","4197","20211205012002"
"769","Collaborative_governance","13243853","","18311","20220110113234"
"770","Declaration_of_Interdependence","13310304","","6974","20210725130813"
"771","Paris_Conference_on_Passports_&_Customs_Formalities_and_Through_Tickets","13400127","","1149","20190930025709"
"772","Under_Secretary_of_Energy","13427048","","4994","20210722134753"
"773","Pillbox_affair","13446446","","3498","20211229230845"
"774","South_African_Gentile_National_Socialist_Movement","13550416","","4275","20210610132702"
"775","Timeline_of_Japan–North_Korea_relations","13697037","","1422","20161119175324"
"776","Dear_Colleague_letter","13765326","","2739","20191003023018"
"777","Expansionism","13774191","","19522","20220116103511"
"778","Chinese_Communist_Party_Committee_Secretary","13778414","","8234","20211109025559"
"779","Publics","13843720","","1171","20210313025500"
"780","Timeline_of_the_Saffron_Revolution","13907397","","83912","20210709225757"
"781","Ranney_Index","13915764","","1029","20201102214633"
"782","Timeline_of_libertarian_thinkers","13917072","","8925","20211209044745"
"783","Kapiri_Mposhi_(constituency)","13919090","","1345","20210824204135"
"784","Kabwe_Central","13919227","","4227","20210824204121"
"785","Issue_advocacy_ads","13926601","","11227","20210501105502"
"786","Non-Zionism","13933230","","4572","20211129211829"
"787","Skoropadsky_family","13974909","","4434","20211229143813"
"788","Guerrilla_theatre","14254039","","10280","20191218153906"
"789","Info-14","14291520","","2979","20211222021121"
"790","Network_governance","14308616","","29521","20210415174744"
"791","2005_Commonwealth_Heads_of_Government_Meeting","14344821","","4185","20210906194429"
"792","Respect_Renewal","14345200","","4684","20210705133238"
"793","Jugate","14352975","","1344","20201104191617"
"794","Euromoney_Finance_Minister_of_the_Year","14436672","","7627","20211212195608"
"795","Government_platform","14441413","","782","20210630201248"
"796","National_liberalism","14458641","","29828","20220111121858"
"797","Index_of_politics_articles","14507041","","45336","20220123091417"
"798","Patriarchalism","14522988","","3526","20220118035413"
"799","Sadaejuui","14616200","","9186","20220118195008"
"800","Politics_in_Futurama","14616326","","27509","20211231053411"
"801","Restrictions_on_political_parties","14643643","","1905","20151002010909"
"802","Player_(political)","14669731","","4047","20200928010419"
"803","Timeline_of_Colombia–Nicaragua_relations","14707694","","5870","20210503072345"
"804","Leo_Baeck_Medal","14777176","","5192","20220104223438"
"805","Prize_For_Freedom","14799064","","3091","20210730075449"
"806","Price_Increase_and_Famine_Resistance_Committee","14973401","","3213","20210322152113"
"807","Extrajudicial_killing","15039439","","88458","20220112201008"
"808","1977_Commonwealth_Heads_of_Government_Meeting","15149869","","2917","20210906192310"
"809","1971_Commonwealth_Heads_of_Government_Meeting","15149909","","4021","20210906204748"
"810","1991_Commonwealth_Heads_of_Government_Meeting","15149942","","2017","20220101035746"
"811","1979_Commonwealth_Heads_of_Government_Meeting","15165589","","2640","20210906205751"
"812","1995_Commonwealth_Heads_of_Government_Meeting","15165605","","2348","20210906193824"
"813","1989_Commonwealth_Heads_of_Government_Meeting","15165654","","3400","20210906193221"
"814","Privatization_of_public_toilets","15200624","","2144","20200614040332"
"815","Ecogovernmentality","15225843","","24208","20211219211527"
"816","Alternative_civilian_service","15298493","","5375","20210716125204"
"817","Equity_of_condition","15322877","","2075","20210525161725"
"818","Rational_economic_exchange","15323014","","1314","20210525161733"
"819","List_of_wars_by_death_toll","15459916","","103790","20220115092550"
"820","Miscellaneous_left","15471690","","745","20211115230150"
"821","Political_journalism","15525934","","14598","20211012092650"
"822","Fault_line_war","15559814","","1977","20190817131315"
"823","Timeline_of_diplomatic_relations_of_the_Republic_of_China","15807579","","28764","20220118054154"
"824","Scientific_politics","15846865","","2217","20201226074926"
"825","State_of_the_Black_Union","15925734","","820","20140421165956"
"826","Libertarian_anarchism","16102540","","2150","20211217142518"
"827","Defense_of_Democracies","16267596","","2740","20211224005732"
"828","Left_List","16433878","","13923","20220110185531"
"829","History_of_parliamentary_procedure","16466268","","7957","20210627204019"
"830","Planning_and_zoning_commission","16618624","","2659","20220110172556"
"831","Non-reformist_reform","16658440","","21723","20211113111436"
"832","Timeline_of_the_breakup_of_Yugoslavia","16732513","","96355","20211015173529"
"833","Commonwealth_Deputy_Secretary-General","16780636","","8155","20210625011534"
"834","Propaganda_in_the_Polish_People's_Republic","16798688","","3428","20200926025315"
"835","Ghent_system","16859131","","4825","20210203121509"
"836","Political_ponerology","16885280","","6297","20211128002448"
"837","Zemiology","16990537","","25101","20211122234842"
"838","Postsecularism","16997397","","10612","20211108235607"
"839","WikiCandidate","16998927","","2200","20200602032959"
"840","Index_of_social_and_political_philosophy_articles","17092639","","22535","20211107085557"
"841","Political_communication","17093445","","21418","20220110004734"
"842","National_Movement_of_Servants_of_the_Masses","17132958","","768","20201215173325"
"843","1978_Arab_League_summit","17142736","","3259","20210829143237"
"844","1965_Arab_League_summit","17145517","","4092","20210318091924"
"845","Social_Democratic_Union_of_Workers_and_Smallholders","17245641","","8190","20211212101544"
"846","Public_policy_of_the_United_States","17596996","","13817","20211106234231"
"847","Political_lists","17598155","","14272","20210307163940"
"848","Garibaldi_shirt","17625608","","5909","20201105225627"
"849","2008_Arab_League_summit","17682897","","1771","20191207103138"
"850","2008_US_beef_protest_in_South_Korea","17743774","","35076","20220111224254"
"851","Pashtun_nationalism","17860944","","7686","20211209160555"
"852","Politics.ie","18127538","","2412","20211226081732"
"853","Dualism_(politics)","18181188","","3555","20210829164500"
"854","The_She_Spot","18226020","","4641","20210707204814"
"855","Nepal_Rastriya_Dalit_Mukti_Sangathan","18395094","","858","20171210010026"
"856","Rowman_&_Littlefield_Award_in_Innovative_Teaching","18409939","","3828","20180808050849"
"857","Politics_of_outer_space","18480268","","3282","20211114071255"
"858","Antidisestablishmentarianism","18581389","","7365","20220122145555"
"859","Official_statistics","18646178","","31475","20211212044701"
"860","Youth_exclusion","18664006","","21139","20210512125014"
"861","Straw_donor","18742971","","3212","20211031162218"
"862","Portugal–Turkey_relations","19010458","","1314","20210731223830"
"863","Spatial_justice","19021764","","7145","20211113182702"
"864","Styr_Nyxas","19057815","","934","20200918222035"
"865","Social_interventionism","19064230","","3713","20220113100214"
"866","People's_joint_association","19128970","","4150","20211205015230"
"867","Civil_service_reform_in_developing_countries","19264475","","70096","20210929141226"
"868","Liberalism","19280734","","132877","20220120131329"
"869","Negative_income_tax","19288572","","20613","20211219174729"
"870","Wright_v._United_States","19347562","","553","20210918081835"
"871","State_of_exception","19375659","","3129","20210817152600"
"872","Prioritarianism","19376235","","9113","20211026134030"
"873","Universal_monarchy","19476956","","13177","20220119092627"
"874","Public_Force","19492783","","1936","20190618002245"
"875","Elite_pact","19506230","","5802","20211116143938"
"876","Countercurrent_(Italy,_2006)","19513741","","2886","20210506191911"
"877","Conservative_Party_Conference_(UK)","19589750","","4784","20211222124306"
"878","Green_left","19683207","","2770","20210820114147"
"879","Anti-Zionism","19698503","","86995","20211215215950"
"880","Bash_Back!","19826429","","8240","20211129013257"
"881","Stonewall_Awards","19885463","","12821","20211205032047"
"882","Catalist","19930528","","8713","20220102213407"
"883","Reverence_for_Life","20025013","","14608","20211224020632"
"884","Election_silence","20057633","","15771","20211101053107"
"885","Ideological_repression","20098157","","1821","20210808131745"
"886","Rivers_and_Harbors_Bill","20156431","","1800","20180220032351"
"887","Nosokinetics","20251567","","3364","20200421102343"
"888","Defensor_minor","20467404","","3802","20211209045805"
"889","Choice_architecture","20502327","","26667","20210919191207"
"890","Neutrality_(philosophy)","20784062","","5846","20210822235452"
"891","Objectivity_(philosophy)","20785947","","14603","20220106085930"
"892","Bourgeois_socialism","20870592","","11007","20220119180106"
"893","International_Socialist_Labor_Congress_of_Brussels,_1891","20982907","","3256","20190923135203"
"894","State_of_the_City_address","21028921","","2698","20211106191029"
"895","Political_particularism","21084487","","25911","20220106083724"
"896","Dirty_hands","21095287","","7228","20201125100354"
"897","Counterintelligence_state","21128831","","10781","20220108233134"
"898","African-American_presidents_of_the_United_States_in_popular_culture","21253858","","26202","20220106021225"
"899","Association_for_Public_Policy_Analysis_and_Management","21301794","","939","20210312182954"
"900","Orangism_(Dutch_Republic)","21309141","","10265","20210416223414"
"901","Orangism_(Belgium)","21309148","","3560","20211020205210"
"902","Orangism_(Luxembourg)","21309716","","2589","20211020070855"
"903","Special_membership_of_the_Commonwealth_of_Nations","21328896","","4505","20201210134209"
"904","The_arts_and_politics","21342679","","35301","20211105155123"
"905","Authoritarianism","21347657","","146231","20220117064840"
"906","Party_organizer","21368558","","1554","20201228100301"
"907","Inclusive_management","21395995","","20237","20201201114857"
"908","Inverted_totalitarianism","21414057","","20370","20211226120536"
"909","Political_history_of_the_world","21431793","","125542","20220110154929"
"910","Symphonia_(theology)","21439907","","4637","20210712104452"
"911","Equality_of_sacrifice","21482288","","4338","20190928130942"
"912","Redistribution_of_income_and_wealth","21554936","","43402","20220118213110"
"913","Transnational_capitalist_class","21582279","","7608","20210625155317"
"914","Kremlin.ru","21586443","","4415","20211027231308"
"915","Governance_(journal)","21656818","","2791","20200523175933"
"916","List_of_foreign_ministry_headquarters","21712085","","8965","20211209135324"
"917","List_of_chairmen_of_the_Chamber_of_the_People_(Czechoslovakia)","21873098","","791","20210405152415"
"918","Leaderism","21951513","","4587","20210821070007"
"919","National_Republican_Trust_Political_Action_Committee","21963059","","5684","20201117033831"
"920","Eliminationism","21985775","","7148","20220104022914"
"921","1975_Brussels_summit","22037362","","2520","20190114011125"
"922","1994_Brussels_summit","22038383","","3112","20200505015216"
"923","1977_London_summit","22071833","","2199","20200126080741"
"924","List_of_presidents_of_the_Assembly_of_the_Republic_of_North_Macedonia","22095930","","8662","20211213054930"
"925","Young_Americans_for_Liberty","22123782","","30565","20211127133949"
"926","2009_Arab_League_summit","22203380","","3511","20201208145210"
"927","2006_Arab_League_summit","22227750","","1702","20191211095048"
"928","Federal_republicanism","22286819","","2989","20211022084759"
"929","Transnational_governance","22319021","","6174","20210825225540"
"930","Power_resource_theory","22340697","","3878","20210106145145"
"931","Communitas_perfecta","22340827","","7478","20210320191725"
"932","Speaker_of_the_National_Assembly_of_South_Korea","22358359","","18196","20211212011158"
"933","Come-outer","22378693","","8801","20210906052553"
"934","Speaker_of_the_Legislative_Assembly_of_the_Falkland_Islands","22440780","","3003","20210611171529"
"935","GrassrootsPA","22599546","","4175","20210819114630"
"936","Lille_Congress","22653685","","748","20170909024453"
"937","Western_conservatism","22675299","","3242","20211218210808"
"938","Husakism","22701199","","1296","20211001202335"
"939","French_and_Raven's_bases_of_power","22757157","","32911","20211129220233"
"940","Linkage_institution","22919177","","1844","20211202081234"
"941","Everything_which_is_not_forbidden_is_allowed","22944626","","13170","20211120183541"
"942","North_Korea_Uncovered","23065337","","3096","20210710201857"
"943","Parliament_of_the_Republic_of_North_Ossetia–Alania","23141774","","2194","20220110214411"
"944","Civic_political_culture","23148804","","2962","20210702190434"
"945","The_Civic_Culture","23170126","","5442","20210702190451"
"946","List_of_chairmen_of_the_People's_Assembly_of_the_Republic_of_Ingushetia","23203482","","962","20210412132858"
"947","Iraq_Inquiry","23229862","","69768","20211005164420"
"948","Red_Shirts_(Thailand)","23272304","","6235","20211220140945"
"949","Grupo_Paz_y_Democracia","23421299","","963","20210824193756"
"950","1993_Commonwealth_Heads_of_Government_Meeting","23439407","","4357","20210906193713"
"951","1987_Commonwealth_Heads_of_Government_Meeting","23439409","","2239","20210916091525"
"952","1986_Commonwealth_Heads_of_Government_Meeting","23439411","","2279","20210906192937"
"953","1985_Commonwealth_Heads_of_Government_Meeting","23439412","","2612","20210906192832"
"954","1983_Commonwealth_Heads_of_Government_Meeting","23439414","","3089","20210906192645"
"955","1981_Commonwealth_Heads_of_Government_Meeting","23439416","","2394","20220108033744"
"956","1975_Commonwealth_Heads_of_Government_Meeting","23439419","","2728","20210916090249"
"957","Present_age","23554608","","6141","20220105111709"
"958","Discourse_on_Pisa","23574175","","675","20201110083332"
"959","Buffer_initiative","23589732","","1037","20210908210928"
"960","Sugar_side_letter","23610113","","1286","20200409165255"
"961","United_Front_in_Taiwan","23716543","","1705","20220116234433"
"962","The_Broken_Compass","23810295","","19248","20210817150103"
"963","Constitution_of_Moldova_(1994)","24007572","","3776","20210829191831"
"964","Constitution_of_the_Moldavian_Soviet_Socialist_Republic","24007577","","2187","20210318033330"
"965","Constitution_of_the_Moldavian_Soviet_Socialist_Republic_(1941)","24007923","","1787","20210318033225"
"966","Parliament_of_South_Ossetia","24008313","","5387","20211210134038"
"967","Investment_theory_of_party_competition","24150477","","16180","20200902172548"
"968","History_of_the_Taliban","24195739","","65353","20220118222152"
"969","Hamas–UNRWA_Holocaust_dispute","24298776","","15510","20220115000823"
"970","East–West_dichotomy","24340653","","14144","20211119225943"
"971","Caucus_revolt","24382579","","2325","20220119224000"
"972","Frankenstein_veto","24457771","","7637","20211113013345"
"973","Pre-Marxist_communism","24601516","","59394","20220102221916"
"974","Outrage_factor","24675314","","8033","20211226231753"
"975","Homonoia","24675586","","8225","20211007192900"
"976","Gyorin","24803285","","7654","20220114042750"
"977","List_of_Indian_National_Congress_breakaway_parties","24816453","","17157","20220102192000"
"978","Kangaroo_closure","24834060","","1107","20210610042307"
